Airline,Airport,Route_Type,Destination_Region,Passengers
UA,SLC,Domestic,Domestic,273463.0
WN,LIT,Domestic,Domestic,273208.0
UA,KOA,Domestic,Domestic,272709.0
LO,WAW,International,International,272561.0
DL,MBJ,International,International,272361.0
B6,SEA,Domestic,Domestic,270202.0
F9,ISP,Domestic,Domestic,269869.0
F9,MIA,Domestic,Domestic,269830.0
NK,CUN,International,International,269711.0
DL,MSN,Domestic,Domestic,269304.0
F9,CUN,International,International,268693.0
OO,MKE,Domestic,Domestic,267834.0
PR,SFO,International,Domestic,267802.0
YX,BNA,Domestic,Domestic,267380.0
CX,LAX,International,Domestic,266908.0
LH,ORD,International,Domestic,266730.0
G4,IND,Domestic,Domestic,266658.0
NH,HND,International,International,265554.0
AA,OKC,Domestic,Domestic,264379.0
WN,LBB,Domestic,Domestic,264140.0
F9,SAN,Domestic,Domestic,263190.0
UA,SJC,Domestic,Domestic,263186.0
YV,ELP,Domestic,Domestic,263152.0
B6,CUN,International,International,262933.0
CP,SMF,Domestic,Domestic,262844.0
RV,YVR,International,International,262814.0
B6,CHS,Domestic,Domestic,262679.0
F9,COS,Domestic,Domestic,261950.0
AC,YUL,International,International,261172.0
YX,MCI,Domestic,Domestic,260764.0
SK,EWR,International,Domestic,260044.0
DL,GRU,International,International,259142.0
DL,ICN,International,International,258487.0
BA,EWR,International,Domestic,256294.0
DL,LIT,Domestic,Domestic,255786.0
B6,SAN,Domestic,Domestic,255567.0
4O,LAX,International,Domestic,254772.0
OS,VIE,International,International,253985.0
B6,ORD,Domestic,Domestic,253422.0
HU,PEK,International,International,252988.0
DL,NAS,International,International,252050.0
LH,SFO,International,Domestic,251833.0
BA,PHX,International,Domestic,251608.0
OH,DAY,Domestic,Domestic,250819.0
EV,LGA,Domestic,Domestic,250593.0
AA,ORF,Domestic,Domestic,250112.0
AS,DCA,Domestic,Domestic,249951.0
LH,EWR,International,Domestic,249388.0
